model,accuracy,f1_macro,precision_macro,recall_macro
catboost,0.9539472744231243,0.8000891164936995,0.8076432737653807,0.7931221420603057
xgb,0.9516775747647003,0.7940604236864963,0.7958524106360805,0.7925412433256489
rf,0.9472527373383798,0.7808535171315242,0.7755397934332351,0.7868287216045757
logreg,0.9450188399367537,0.7742553786133706,0.7661643375381184,0.7832269337608337
svm,0.9451119344164087,0.7733255150159036,0.766718327596682,0.7805416847002409
lda,0.9452479411626239,0.7653060377206067,0.7685268989009464,0.7623731264394482
knn,0.9449401243881598,0.759364112259801,0.768103983772449,0.7515664590459914
qda,0.9307848679799854,0.7429860498722162,0.7174329842785753,0.7781678422827185
nb,0.9161213202034265,0.708412628698842,0.6790970371238252,0.7560708923552031
