prep_param,model_param,accuracy,f1_macro,precision_macro,recall_macro,tex
"{'scaling': 'standard', 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 9, 'weights': 'uniform'}",0.9416966260881013,0.7521178485712057,0.7532303660475221,0.751123839257734,47.98493576049805
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 15, 'weights': 'uniform'}",0.941682293292244,0.7520014978354167,0.7532205552831576,0.7509923506510432,100.60175919532776
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 13, 'weights': 'uniform'}",0.9410880210448239,0.7519688349818449,0.7505876838338736,0.7534682266939665,99.57899832725525
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 7, 'weights': 'uniform'}",0.9396631976497292,0.7513698091130212,0.7449964734071299,0.7583975601031134,101.76903176307678
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 13, 'weights': 'distance'}",0.9406369519290593,0.7512494519561049,0.7488061677640347,0.7539718045943233,100.86147451400757
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 9, 'weights': 'distance'}",0.9394985178802809,0.7511951613145849,0.7442648025765737,0.7587099981333424,99.41144275665283
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 19, 'weights': 'uniform'}",0.941710930688967,0.7510929652947079,0.7532435839634111,0.7490747651419445,100.0508451461792
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.8, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 15, 'weights': 'distance'}",0.9322526636455837,0.7508085609133242,0.7230480040326132,0.789646538913659,76.59097862243652
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 9, 'weights': 'uniform'}",0.9400211897153048,0.7508025627494546,0.7463545245473031,0.7555983889519073,100.98440909385681
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 11, 'weights': 'distance'}",0.9400211786936262,0.7506606487982347,0.7463891177629747,0.7553637945583916,98.40569496154785
"{'scaling': 'standard', 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 9, 'weights': 'distance'}",0.9407013910698889,0.7503857722099533,0.7490916928661026,0.7518697748717313,46.74159097671509
"{'scaling': 'standard', 'imputation': 'mode', 'cat_age': False, 'merge_capital': True, 'downsampling_method': 'random', 'target_freq': 0.8, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 15, 'weights': 'distance'}",0.9311571951756596,0.7501613753618289,0.7204737101084053,0.7930489715789515,36.593610763549805
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 17, 'weights': 'uniform'}",0.9413457819655509,0.7500895989698546,0.7517568930425222,0.7486305295252553,100.80588889122009
"{'scaling': 'standard', 'imputation': 'mode', 'cat_age': False, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 7, 'weights': 'uniform'}",0.9366703484968383,0.7500092389198184,0.7345680724372505,0.7684207535120444,46.172144412994385
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 7, 'weights': 'uniform'}",0.939083236411127,0.7497154069102188,0.7426815956749109,0.7573632392837911,101.27734446525574
"{'scaling': 'standard', 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 7, 'weights': 'distance'}",0.9395486352469318,0.7495537209983988,0.7443402291518634,0.7551770898609234,47.16090440750122
"{'scaling': 'standard', 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 7, 'weights': 'uniform'}",0.939749112403079,0.7494452548607999,0.7450979369627488,0.7540659271723352,47.41791749000549
"{'scaling': None, 'imputation': 'mode', 'cat_age': True, 'merge_capital': False, 'downsampling_method': 'random', 'target_freq': 0.85, 'generate_dummies': True, 'remove_duplicates': True}","{'n_neighbors': 7, 'weights': 'distance'}",0.9383887258419511,0.749284176695858,0.7400278633812647,0.7595392160309912,100.99373865127563
