scaling,imputation,cat_age,target_freq,accuracy,f1_macro,precision_macro,recall_macro
minmax,mode,True,0.8,0.939985395763312,0.7683204967853066,0.7471929259847494,0.7946880105638705
minmax,mode,True,0.9,0.9513052550740158,0.7539964760067389,0.8181280153107916,0.7139300215450464
minmax,mode,False,0.8,0.9397133205529479,0.7666969913186638,0.7461800389292541,0.7921555638855211
minmax,mode,False,0.9,0.951484251593766,0.7549802508824934,0.8191759736892924,0.7148173730376282
minmax,nancat,True,0.8,0.9399209553921355,0.7680392748113258,0.7469617278184861,0.7943378344297871
minmax,nancat,True,0.9,0.9512837749502902,0.7539690638278053,0.8179166387461662,0.7139701089737098
minmax,nancat,False,0.8,0.9396417203455885,0.7664895796693616,0.7459334912028044,0.7920135228688829
minmax,nancat,False,0.9,0.951484251593766,0.7549158839468357,0.8192299952882618,0.7147124026467623
standard,mode,True,0.8,0.9317228402281563,0.7628371906369791,0.7254039534902796,0.8222936576340322
standard,mode,True,0.9,0.9496155181503643,0.7708684221170987,0.793053196073946,0.7523940845843491
standard,mode,False,0.8,0.9259089572800423,0.7556632048377427,0.7132239732159482,0.831536093604144
standard,mode,False,0.9,0.9478398545800443,0.7716249143361646,0.7813858204545229,0.7627279240232729
standard,nancat,True,0.8,0.931730000679516,0.7628922588611626,0.7254353880524604,0.822403584701997
standard,nancat,True,0.9,0.9495439187632404,0.770490313218396,0.792730477131983,0.7519859896574478
standard,nancat,False,0.8,0.9260020359706562,0.755961296640939,0.7134746244705995,0.8319043459375075
standard,nancat,False,0.9,0.9478541742524101,0.7716617651873559,0.7814587174204406,0.7627353610256533
,mode,True,0.8,0.9407944701706952,0.7711554566825554,0.7500616098768597,0.7973999515670485
,mode,True,0.9,0.9517563323407204,0.7582359877867325,0.8193000684961033,0.719149883820074
,mode,False,0.8,0.9404006750794554,0.7692978312854868,0.748646860799112,0.7949140807997606
,mode,False,0.9,0.9518136124655961,0.7581840177226221,0.8199587360417374,0.7188052768510483
,nancat,True,0.8,0.9407300287742243,0.7709616406092565,0.7498301684032342,0.7972610223081507
,nancat,True,0.9,0.9516990513956091,0.7580733777296529,0.8188270150780567,0.7191202506648116
,nancat,False,0.8,0.9403433961849328,0.769143115825702,0.7484537618238245,0.7948294784845664
,nancat,False,0.9,0.9518136124655963,0.7581842239927727,0.8199581072549269,0.718805274864295
